dimension,group,n,mean_pct,median_pct,hit_rate,std_pct,t_stat,p_value,significant
Day-of-Week,Monday,334,0.45116823776105475,0.19889758362744425,0.5269461077844312,3.8293135189753005,2.15,0.0323,True
Day-of-Week,Tuesday,334,0.11242065881141208,0.012083275316943087,0.5059880239520959,2.9285532514320494,0.701,0.4841,False
Day-of-Week,Wednesday,334,0.4905575198010403,0.20629729507986028,0.5239520958083832,3.458030102066239,2.589,0.0101,True
Day-of-Week,Thursday,335,-0.2118509038846514,-0.22241070832323961,0.45671641791044776,3.9640626397218206,-0.977,0.3294,False
Day-of-Week,Friday,335,0.12446740901116018,0.045392817245337724,0.5044776119402985,3.309693438149672,0.687,0.4924,False
Day-of-Week,Saturday,334,0.044205648178901796,0.06372805195333786,0.5299401197604791,1.8450846165726924,0.437,0.6622,False
Day-of-Week,Sunday,334,0.05065087930565921,0.04379465738567623,0.5179640718562875,2.4348336384173495,0.38,0.7045,False
Day-of-Month,Start (1-5),384,0.15995435432615018,0.14669131344348108,0.53125,3.091786631749853,1.012,0.3119,False
Day-of-Month,Early (6-10),385,0.251416770246824,0.09158253401495564,0.5116883116883116,3.3652451426244583,1.464,0.144,False
Day-of-Month,Mid (11-20),770,0.12070459962004021,0.08331425102312551,0.5207792207792208,3.448137696834172,0.971,0.332,False
Day-of-Month,Late (21-25),385,-0.03137704242360013,-0.017668994634212343,0.4961038961038961,2.940631709271827,-0.209,0.8345,False
Day-of-Month,End (26-31),416,0.2774355853013495,-0.08038644606571665,0.47836538461538464,2.8540291111628013,1.98,0.0483,True
Month,January,216,0.30001362659463066,0.07596712661472882,0.5370370370370371,3.18355227928451,1.382,0.1685,False
Month,February,198,0.2358314961136756,-0.1188209194336931,0.46464646464646464,3.63685131216279,0.91,0.3639,False
Month,March,217,0.30352423939279166,0.2511580481610265,0.5299539170506913,4.719617076830918,0.945,0.3456,False
Month,April,210,0.13451937450350743,0.09725358727827871,0.5285714285714286,2.8737507182371247,0.677,0.4993,False
Month,May,215,-0.1324828253294149,0.04276316492815013,0.5023255813953489,3.4133873563406185,-0.568,0.5708,False
Month,June,180,-0.21956805794354295,-0.07851362529984196,0.4777777777777778,3.3269044097099703,-0.883,0.3784,False
Month,July,186,0.35408713796733704,0.10002598286961151,0.5053763440860215,2.425025238767657,1.986,0.0485,True
Month,August,186,-0.10996120179908116,-0.19164826178378336,0.45161290322580644,2.7156332288639917,-0.551,0.5825,False
Month,September,180,0.024807887276042665,0.2245078090765129,0.5388888888888889,2.6512788718897724,0.125,0.9005,False
Month,October,186,0.5402758638444507,0.33508892649743993,0.553763440860215,2.373881308409449,3.096,0.0023,True
Month,November,180,0.22822778226687565,-0.0299014748977533,0.49444444444444446,3.2727784219284275,0.933,0.3521,False
Month,December,186,0.1367903594227318,0.12572289916860102,0.521505376344086,2.583676045215194,0.72,0.4724,False
Days-from-Halving,0-90d post-halving,180,0.20418089322006197,0.12146156400435482,0.5222222222222223,2.56702391820811,1.064,0.2887,False
Days-from-Halving,90-365d (Early bull),550,0.38770293433397357,0.17377940160847594,0.5327272727272727,3.3021606880360994,2.751,0.0061,True
Days-from-Halving,365-540d (Parabolic),350,0.16159441422459744,0.10921738158954364,0.5257142857142857,3.2766609028535587,0.921,0.3575,False
Days-from-Halving,540-700d (Distribution),320,-0.218042365219724,-0.1117190964703918,0.471875,3.028830587809197,-1.286,0.1995,False
Days-from-Halving,700-900d (Bear),271,-0.2036712744596388,-0.21754017142699977,0.46494464944649444,3.0576898149109915,-1.095,0.2747,False
Days-from-Halving,>900d (Reaccumulation),669,0.2584675113197957,0.03155626868909245,0.5142002989536621,3.3259168911951584,2.009,0.045,True
Quarter-End,Quarter-end week,163,0.13220439703237383,0.08109090753829484,0.50920245398773,2.3614792725846843,0.713,0.4771,False
Quarter-End,Other days,2177,0.15293715927868545,0.045392817245337724,0.5094166283876895,3.251697189131187,2.194,0.0283,True
